@contest "The 2022 Hangzhou Normal U Summer Trials"
@contlen 240
@problems 11
@teams 330
@submissions 2141
@p A,Hello, ACMer!,20,0
@t 151,0,1,Пополнить команду
@t 152,0,1,Пополнить команду
@t 153,0,1,Пополнить команду
@t 154,0,1,Пополнить команду
@t 155,0,1,Пополнить команду
@t 156,0,1,Пополнить команду
@t 157,0,1,Пополнить команду
@t 158,0,1,Пополнить команду
@t 159,0,1,Пополнить команду
@t 160,0,1,Пополнить команду
@t 161,0,1,Пополнить команду
@t 162,0,1,Пополнить команду
@t 163,0,1,Пополнить команду
@t 164,0,1,Пополнить команду
@t 165,0,1,Пополнить команду
@t 166,0,1,杭州师范大学 刘柯磊
@t 167,0,1,杭州师范大学 王腾
@t 168,0,1,杭州师范大学 宋婧瑶
@t 169,0,1,杭州师范大学 王梓仰
@t 170,0,1,杭州师范大学 王鹏博
@t 171,0,1,杭州师范大学 俞家豪
@t 172,0,1,杭州师范大学 严家俊
@t 173,0,1,杭州师范大学 吴宪
@t 174,0,1,杭州师范大学 夏阳
@t 175,0,1,杭州师范大学 李力
@t 176,0,1,杭州师范大学 陈泓昕
@t 177,0,1,杭州师范大学 孙于晴
@t 178,0,1,杭州师范大学 陈洁
@t 179,0,1,杭州师范大学 李齐
@t 180,0,1,杭州师范大学 鲍凯强
@t 181,0,1,杭州师范大学 陈科舟
@t 182,0,1,杭州师范大学 何士杰
@t 183,0,1,杭州师范大学 胡豪
@t 184,0,1,杭州师范大学 李书培
@t 185,0,1,杭州师范大学 李梓铖
@t 186,0,1,杭州师范大学 朱可伊
@t 187,0,1,杭州师范大学 陈欣昀
@t 188,0,1,杭州师范大学 李则成
@t 189,0,1,杭州师范大学 林晓倩
@t 190,0,1,杭州师范大学 娄轩
@t 191,0,1,杭州师范大学 童春琦
@t 192,0,1,杭州师范大学 夏哲禹
@t 193,0,1,杭州师范大学 陈奕晨
@t 194,0,1,杭州师范大学 刘宇轩
@t 195,0,1,杭州师范大学 杨嘉福
@t 196,0,1,杭州师范大学 叶兆轶
@t 197,0,1,杭州师范大学 周杭安
@t 198,0,1,杭州师范大学 黄海铭
@t 199,0,1,杭州师范大学 江俊豪
@t 200,0,1,杭州师范大学 蒋宇凡
@t 201,0,1,杭州师范大学 李硕然
@t 202,0,1,杭州师范大学 刘书凡
@t 203,0,1,杭州师范大学 牛志远
@t 204,0,1,杭州师范大学 潘志程
@t 205,0,1,杭州师范大学 戴泽耀
@t 206,0,1,杭州师范大学 焦华颂
@t 207,0,1,杭州师范大学 赖芃羽 
@t 208,0,1,杭州师范大学 罗志超
@t 209,0,1,杭州师范大学 石雨铨
@t 210,0,1,杭州师范大学 唐捷
@t 211,0,1,杭州师范大学 吴银杰
@t 212,0,1,杭州师范大学 戴钒宇
@t 213,0,1,杭州师范大学 高伟
@t 214,0,1,杭州师范大学 林金泉
@t 215,0,1,杭州师范大学 潘苏雄
@t 216,0,1,杭州师范大学 方怡琪
@t 217,0,1,杭州师范大学 潘宇琪
@t 218,0,1,杭州师范大学 王图南
@t 219,0,1,杭州师范大学 郑奇鸿
@t 220,0,1,杭州师范大学 祝胜毅
@t 221,0,1,杭州师范大学 徐浚豪
@t 222,0,1,杭州师范大学 杨晓维
@t 223,0,1,杭州师范大学 叶志荣
@t 224,0,1,杭州师范大学 詹博凯
@t 225,0,1,杭州师范大学 何斌杰
@t 226,0,1,杭州师范大学 黎瑞
@t 227,0,1,杭州师范大学 李镕耀
@t 228,0,1,杭州师范大学 王隆基
